"domain_name","business_purpose","source_repo_evidence","standalone_repo_evidence","real_business_rules_found","current_source_of_truth","migration_status","confidence","why_true","risk_if_left_as_is","recommended_action","recommended_next_slice_order"
"Supplier intelligence core","Collect and normalize supplier evidence into canonical intelligence","platform_core/supplier_intelligence/*; addons/print_broker_core/models/raw_entities.py; addons/print_broker_core/models/master_entities.py; tests/pipeline/test_normalization.py; tests/pipeline/test_deduplication.py; tests/pipeline/test_scoring.py","src/magon_standalone/supplier_intelligence/pipeline.py; extraction_engine.py; normalization_service.py; deduplication_service.py; scoring_service.py; sqlite_persistence.py; tests/test_pipeline.py; tests/test_persistence.py; tests/test_api.py","raw source fingerprint uniqueness; evidence uniqueness; normalization into canonical company; dedup pair identity; score persistence","standalone","standalone already authoritative","high","Standalone has independent runtime, storage, tests, and operator surfaces","Low ownership risk; main risk is donor-code drift","keep in standalone","0"
"Review / qualification / routing","Turn scored suppliers into queue state, qualification decisions, route outcomes, and audit","addons/print_broker_core/services/qualification_service.py; transition_service.py; operations_service.py; repositories.py; models/quality_entities.py; tests/pipeline/test_transition_rules.py; tests/pipeline/test_operations_service.py","src/magon_standalone/supplier_intelligence/operations_service.py; routing_service.py; operational_policy.py; sqlite_persistence.py; tests/test_operations.py; tests/test_api.py","explicit transition matrix; reprocess requires allow flag; manual override audit; routing outcome persists qualification decision and audit","standalone","standalone already authoritative","high","Standalone owns queue transitions, routing decision application, and audit trail for extracted contour","Low if Odoo queue stops being treated as canonical","keep in standalone","0"
"Feedback ledger / projection","Ingest narrow downstream outcomes without handing canonical intelligence back to Odoo","addons/print_broker_core/services/standalone_feedback_service.py; tests/pipeline/test_odoo_feedback_export.py; tests/platform_core/test_feedback_ingestion.py","src/magon_standalone/supplier_intelligence/contracts.py; sqlite_persistence.py; api.py; tests/test_feedback.py; tests/test_api.py","token-gated ingest; forbidden field rejection; crm_lead_feedback alias normalization; idempotent event ingestion; projection separated from canonical intelligence","standalone","standalone already authoritative","high","Standalone stores ledger and projection and source repo only publishes bridge events","High only if someone broadens this into mirrored sync","keep narrow in standalone","0"
"Commercial preparation","Track company-centric commercial follow-up before full ERP/CRM execution","addons/print_broker_core/models/commercial_entities.py; services/repositories.py; services/operational_policy.py","sqlite_persistence.py commercial_records; api.py company/commercial views; tests/test_persistence.py; tests/test_api.py","commercial status, stage, refs, next action, due date, notes persist in standalone","mixed","partially migrated / dangerous overlap","medium-high","Standalone has real commercial prep state but Odoo still owns customer/lead master entities","Operators may confuse prep state with CRM/customer truth","migrate next as business module","1"
"Partner / account / lead handling","Own customer/partner/lead identity and assignment semantics","addons/print_broker_core/models/commercial_entities.py::PrintBrokerCustomer/Lead; repositories.py; res.partner/crm.lead links","only trace refs in commercial_records and feedback projection; no standalone master entity","partner uniqueness; one lead mapping per canonical company; Odoo user assignment semantics","source/Odoo","still Odoo-only","high","No standalone durable customer or lead ownership exists","Major business parity blind spot in commercial contour","redesign before migrating","1"
"RFQ / Quote / Conversation","Move opportunity into RFQ/quote/customer conversation state","addons/print_broker_core/models/commercial_entities.py::PrintBrokerRFQ/Quote/Conversation","sqlite_persistence.py quote_intents; api.py quote workbench; tests/test_persistence.py; tests/test_api.py","standalone quote intent creation/update exists, but no full RFQ/quote/conversation ownership","mixed","partially migrated / dangerous overlap","high","Quote intent is real but is not equal to Odoo RFQ/quote/conversation domain","False parity claims and operator confusion","migrate next as part of customer/lead/quote boundary","1"
"Production preparation / execution prep","Move commercial intent into production-ready handoff and board execution prep","implicit/embedded in source operational flow; no equivalent extracted source model set","sqlite_persistence.py production_handoffs; api.py production board; tests/test_persistence.py; tests/test_api.py","cross-company quote/handoff mismatch rejection; field-preserving status update; stale board overwrite protection","standalone","standalone already authoritative","high","This contour exists as real standalone state, actions, and tests","Low ownership risk; main gap is upstream customer/quote parity","keep in standalone","0"
"Workforce estimation engine","Estimate hours, headcount, overtime, bottlenecks, and labor cost","services/workforce_estimation_service.py; tests/pipeline/test_workforce_estimation.py","src/magon_standalone/supplier_intelligence/workforce_estimation_service.py; tests/test_workforce.py; api.py workforce views","headcount, overtime, bottleneck role, labor cost, time remaining are computed outside Odoo","standalone for engine","standalone already authoritative for engine","high","Pure estimation logic runs and is tested in standalone","Risk only if mistaken for full workforce domain migration","keep in standalone","0"
"Workforce planning state","Store workforce roles, shifts, rates, absences, capacity slots, policies","addons/print_broker_core/models/workforce_entities.py","no equivalent persistent standalone domain","worker role/skill uniqueness; shift validity; rate validity; absence bounds; capacity slot uniqueness","source/Odoo","still Odoo-only","high","Only Odoo models own this durable state","Workforce parity claims would be false","decide later: migrate or keep external/back-office","3"
"Admin/operator flows","Allow operators to move queue/commercial/production state and inspect audit","models/master_entities.py; models/quality_entities.py; raw_entities.py; views/print_broker_admin_views.xml; operations_service.py","api.py operator actions and pages; sqlite_persistence.py transitions/audit; tests/test_api.py; tests/test_operations.py","standalone write paths exist for extracted contours; Odoo admin still exists for remaining domains","mixed","partially migrated / dangerous overlap","medium-high","Some operator flows moved, some still Odoo-only","Split-brain operations across two systems","migrate by business module, not by screen cloning","2"
"ERP / CRM / accounting side effects","Reflect business state into partner/lead/order/accounting consequences","standalone_sync_service.py; standalone_feedback_service.py; erp_context_service.py; Odoo ERP links","feedback ingest only; no accounting/order ownership in standalone","bridge/export remains explicit; accounting/order effects stay outside standalone contour","source/Odoo","still Odoo-only","high","Standalone intentionally does not own ERP/accounting side effects yet","Low if boundary stays explicit, high if people pretend it moved","keep outside current contour","4"
"Legacy request/specification lineage","Carry request/spec/product definition rules from old Odoo flow","models/request.py; models/specification.py","no proven full replacement path identified yet","request/spec may still feed quote/handoff/product-definition semantics","source/Odoo","partially migrated / dangerous overlap","medium","Likely donor logic still matters but is not yet mapped cleanly into standalone","Hidden donor logic may be lost or reimplemented incorrectly","audit next after customer/lead/quote boundary","2"
"Source repo apps/web and Odoo XML UI baggage","Legacy UI/runtime shell that should not remain active product boundary","apps/web in source repo; views/print_broker_admin_views.xml","standalone apps/web; standalone operator console","none worth porting as-is beyond donor reference","dead legacy / donor only","dead legacy / should be dropped","high","Source web copy and Odoo XML UI are not the future product boundary","Continued drift and duplicate frontend truth","freeze and archive rather than port","99"
